ID,iSNVs_2%_depth_10x,iSNVs_3%_depth_10x,iSNVs_4%_depth_10x,iSNVs_5%_depth_10x,iSNVs_6%_depth_10x,iSNVs_7%_depth_10x,iSNVs_8%_depth_10x,iSNVs_9%_depth_10x,iSNVs_10%_depth_10x,iSNVs_11%_depth_10x,iSNVs_12%_depth_10x,iSNVs_13%_depth_10x,iSNVs_14%_depth_10x,iSNVs_15%_depth_10x,iSNVs_16%_depth_10x,iSNVs_17%_depth_10x,iSNVs_18%_depth_10x,iSNVs_19%_depth_10x,iSNVs_20%_depth_10x,iSNVs_2%_depth_100x,iSNVs_3%_depth_100x,iSNVs_4%_depth_100x,iSNVs_5%_depth_100x,iSNVs_6%_depth_100x,iSNVs_7%_depth_100x,iSNVs_8%_depth_100x,iSNVs_9%_depth_100x,iSNVs_10%_depth_100x,iSNVs_11%_depth_100x,iSNVs_12%_depth_100x,iSNVs_13%_depth_100x,iSNVs_14%_depth_100x,iSNVs_15%_depth_100x,iSNVs_16%_depth_100x,iSNVs_17%_depth_100x,iSNVs_18%_depth_100x,iSNVs_19%_depth_100x,iSNVs_20%_depth_100x,iSNVs_2%_depth_1000x,iSNVs_3%_depth_1000x,iSNVs_4%_depth_1000x,iSNVs_5%_depth_1000x,iSNVs_6%_depth_1000x,iSNVs_7%_depth_1000x,iSNVs_8%_depth_1000x,iSNVs_9%_depth_1000x,iSNVs_10%_depth_1000x,iSNVs_11%_depth_1000x,iSNVs_12%_depth_1000x,iSNVs_13%_depth_1000x,iSNVs_14%_depth_1000x,iSNVs_15%_depth_1000x,iSNVs_16%_depth_1000x,iSNVs_17%_depth_1000x,iSNVs_18%_depth_1000x,iSNVs_19%_depth_1000x,iSNVs_20%_depth_1000x
SAMPLE_ID1,11,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_ID2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
